product_id,product_name,product_category,product_category_tree,image_urls,product_url
10,"Đầu kim Novofine dùng cho bút tiêm của Novo Nordisk 31G (0,25 x 6mm) hộp 100 cái","Máy đo, que thử đường huyết","Thiết bị, dụng cụ y tế>>Máy đo, que thử đường huyết",https://cdn.tgdd.vn/Products/Images/11299/131310/novofine-kim-31g-100c-mac-dinh-2.jpg***https://cdn.tgdd.vn/Products/Images/11299/131310/novofine-kim-31g-100c-mac-dinh-4.jpg***https://cdn.tgdd.vn/Products/Images/11299/131310/novofine-kim-31g-100c-mac-dinh-5.jpg***https://cdn.tgdd.vn/Products/Images/11299/131310/novofine-kim-31g-100c-mac-dinh-6.jpg***https://cdn.tgdd.vn/Products/Images/11299/131310/novofine-kim-31g-100c-mac-dinh-7.jpg***https://cdn.tgdd.vn/Products/Images/11299/131310/novofine-kim-31g-100c-mac-dinh-8.jpg***https://cdn.tgdd.vn/Products/Images/11299/131310/novofine-kim-31g-100c-mac-dinh-9.jpg,
11,Băng cuộn y tế Bảo Thạch túi 5 cuộn (0.09m x 2m),"Băng, gạc y tế","Thiết bị, dụng cụ y tế>>Bông gòn, băng gạc, găng tay>>Băng, gạc y tế",https://cdn.tgdd.vn/Products/Images/8758/130501/bang-cuon-y-te-hinh-2-1.jpg***https://cdn.tgdd.vn/Products/Images/8758/130501/bang-cuon-y-te-hinh-3-1.jpg***https://cdn.tgdd.vn/Products/Images/8758/130501/bang-cuon-y-te-hinh-4.jpg***https://cdn.tgdd.vn/Products/Images/8758/130501/bang-cuon-y-te-hinh-5.jpg,
12,Đầu kim tiêm BD Ultra-Fine Pro 32G (0.23mm x 4mm),"Máy đo, que thử đường huyết","Thiết bị, dụng cụ y tế>>Máy đo, que thử đường huyết",https://cdn.tgdd.vn/Products/Images/11299/274473/kim-but-bd-ultra-fine-pro-4mm-32g-1.jpg***https://cdn.tgdd.vn/Products/Images/11299/274473/kim-but-bd-ultra-fine-pro-4mm-32g-2.jpg,
13,Băng cá nhân không thấm nước Urgo Waterproof (2 x 7.2cm) hộp 50 miếng,"Băng, gạc y tế","Thiết bị, dụng cụ y tế>>Bông gòn, băng gạc, găng tay>>Băng, gạc y tế",https://cdn.tgdd.vn/Products/Images/8758/215350/bang-ca-nhan-urgo-waterproof-mieng-h-50m-hinh-2-1.jpg***https://cdn.tgdd.vn/Products/Images/8758/215350/bang-ca-nhan-urgo-waterproof-mieng-h-50m-hinh-4-1.jpg***https://cdn.tgdd.vn/Products/Images/8758/215350/bang-ca-nhan-urgo-waterproof-mieng-h-50m-hinh-5-1.jpg***https://cdn.tgdd.vn/Products/Images/8758/215350/bang-ca-nhan-urgo-waterproof-mieng-h-50m-hinh-6-1.jpg,
14,"Nước muối Vietrue sát khuẩn, súc miệng chai 500ml","Nước muối, dung dịch sát trùng","Thiết bị, dụng cụ y tế>>Nước muối, dung dịch sát trùng",https://cdn.tgdd.vn/Products/Images/3913/302410/nuoc-muoi-sinh-ly-vietrue-500ml-1-1.jpg***https://cdn.tgdd.vn/Products/Images/3913/302410/nuoc-muoi-sinh-ly-vietrue-500ml-2.jpg***https://cdn.tgdd.vn/Products/Images/3913/302410/nuoc-muoi-sinh-ly-vietrue-500ml-3.jpg***https://cdn.tgdd.vn/Products/Images/3913/302410/nuoc-muoi-sinh-ly-vietrue-500ml-4.jpg***https://cdn.tgdd.vn/Products/Images/3913/302410/nuoc-muoi-sinh-ly-vietrue-500ml-5.jpg***https://cdn.tgdd.vn/Products/Images/3913/302410/nuoc-muoi-sinh-ly-vietrue-500ml-6.jpg***https://cdn.tgdd.vn/Products/Images/3913/302410/nuoc-muoi-sinh-ly-vietrue-500ml-7.jpg,
15,Gạc y tế Bảo Thạch túi 10 miếng (5cm x 6.5cm x 12 lớp),"Băng, gạc y tế","Thiết bị, dụng cụ y tế>>Bông gòn, băng gạc, găng tay>>Băng, gạc y tế",https://cdn.tgdd.vn/Products/Images/8758/131207/gac-bao-thach-5x6x12-hinh-2.jpg***https://cdn.tgdd.vn/Products/Images/8758/131207/gac-bao-thach-5x6x12-hinh-3.jpg***https://cdn.tgdd.vn/Products/Images/8758/131207/gac-bao-thach-5x6x12-hinh-4.jpg***https://cdn.tgdd.vn/Products/Images/8758/131207/gac-bao-thach-5x6x12-99.jpg,
16,Khẩu trang y tế Winer 4 lớp màu xám hộp 50 cái,Khẩu trang,"Thiết bị, dụng cụ y tế>>Khẩu trang",https://cdn.tgdd.vn/Products/Images/5872/236174/khau-trang-y-te-winer-4-lop-mau-xam-hop-50-cai-1.jpg***https://cdn.tgdd.vn/Products/Images/5872/236174/khau-trang-y-te-winer-4-lop-mau-xam-hop-50-cai-3.jpg***https://cdn.tgdd.vn/Products/Images/5872/236174/khau-trang-y-te-winer-4-lop-mau-xam-hop-50-cai-4.jpg***https://cdn.tgdd.vn/Products/Images/5872/236174/khau-trang-y-te-winer-4-lop-mau-xam-hop-50-cai-5.jpg***https://cdn.tgdd.vn/Products/Images/5872/236174/khau-trang-y-te-winer-4-lop-mau-xam-hop-50-cai-6.jpg***https://cdn.tgdd.vn/Products/Images/5872/236174/khau-trang-y-te-winer-4-lop-mau-xam-hop-50-cai-7.jpg,
17,Băng keo lụa có độ dính cao Urgosyval (1.25cm x 5m),"Băng, gạc y tế","Thiết bị, dụng cụ y tế>>Bông gòn, băng gạc, găng tay>>Băng, gạc y tế",https://cdn.tgdd.vn/Products/Images/8758/131785/bang-keo-urgosyval-125cm-x-5m-mac-dinh-2.jpg***https://cdn.tgdd.vn/Products/Images/8758/131785/bang-keo-urgosyval-125cm-x-5m-mac-dinh-3.jpg***https://cdn.tgdd.vn/Products/Images/8758/131785/bang-keo-urgosyval-125cm-x-5m-mac-dinh-4.jpg***https://cdn.tgdd.vn/Products/Images/8758/131785/bang-keo-urgosyval-125cm-x-5m-mac-dinh-6.jpg***https://cdn.tgdd.vn/Products/Images/8758/131785/bang-keo-urgosyval-125cm-x-5m-mac-dinh-7.jpg,
18,Gạc y tế Bảo Thạch túi 10 miếng (8cm x 10cm x 12 lớp),"Băng, gạc y tế","Thiết bị, dụng cụ y tế>>Bông gòn, băng gạc, găng tay>>Băng, gạc y tế",https://cdn.tgdd.vn/Products/Images/8758/131208/gac-bao-thach-8x10x12-hinh-2.jpg***https://cdn.tgdd.vn/Products/Images/8758/131208/gac-bao-thach-8x10x12-hinh-3.jpg***https://cdn.tgdd.vn/Products/Images/8758/131208/gac-bao-thach-8x10x12-hinh-4.jpg***https://cdn.tgdd.vn/Products/Images/8758/131208/gac-y-te-bao-thach-5x65-99.jpg,
19,Miếng dán hạ sốt ByeBye Fever Super Cool (3 gói x 2 miếng),"Miếng dán giảm đau, hạ sốt","Thiết bị, dụng cụ y tế>>Miếng dán giảm đau, hạ sốt",https://cdn.tgdd.vn/Products/Images/12181/195412/mieng-dan-ha-nhiet-lam-lanh-nhanh-byebye-fever-sup-2.jpg***https://cdn.tgdd.vn/Products/Images/12181/195412/mieng-dan-ha-nhiet-lam-lanh-nhanh-byebye-fever-sup-4.jpg***https://cdn.tgdd.vn/Products/Images/12181/195412/mieng-dan-ha-nhiet-lam-lanh-nhanh-byebye-fever-sup-5.jpg,
