product_id,product_name,product_category,product_category_tree,image_urls,product_url
3679,Nước mắt nhân tạo Easimist Eye Drops Indiana Ophthalmics giúp giảm khô và mỏi mắt (5ml),Dụng cụ y tế,Thiết bị y tế>>Dụng cụ y tế,https://cms-prod.s3-sgn09.fptcloud.com/DSC_09894_87d0d78bfd.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09885_8df24ba5ab.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09886_bb67156039.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09887_8c1565b0f0.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09888_98ecac6d05.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09891_a067e117cf.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09892_c013d382f3.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09897_18c0e11af7.jpg***https://cms-prod.s3-sgn09.fptcloud.com/nuoc_mat_nhan_tao_easimist_6fae5267ae.jpg,https://nhathuoclongchau.com.vn/trang-thiet-bi-y-te/nuoc-mat-nhan-tao-easimist-eye-drops-giam-kho-moi-mat-5-ml.html
3680,"Máy đo huyết áp bắp tay tự động Omron HEM 7143T1 cho kết quả chính xác, nhanh chóng",Máy đo huyết áp,Thiết bị y tế>>Dụng cụ theo dõi>>Máy đo huyết áp,https://cms-prod.s3-sgn09.fptcloud.com/DSC_09885_d6bc560548.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09867_a20e869a65.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09871_b3e607ec11.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09905_f6a283f26c.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09862_436330d288.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09863_ff8a233266.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09864_6d20f43ef7.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09866_b32f5ecc35.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09868_d8cd64b466.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09869_4f8d539d04.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09873_08afcadb8e.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09879_6cb3214359.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09881_01eac54790.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09883_5e384a4d3f.jpg***https://cms-prod.s3-sgn09.fptcloud.com/OMRON_HEM_7143_T1_1_bada83e99c.jpg***https://cms-prod.s3-sgn09.fptcloud.com/OMRON_HEM_7143_T1_2_618ee8373b.jpg***https://cms-prod.s3-sgn09.fptcloud.com/OMRON_HEM_7143_T1_3_34ced76883.jpg***https://cms-prod.s3-sgn09.fptcloud.com/OMRON_HEM_7143_T1_4_ddd217eed9.jpg***https://cms-prod.s3-sgn09.fptcloud.com/OMRON_HEM_7143_T1_5_6690041099.jpg,https://nhathuoclongchau.com.vn/trang-thiet-bi-y-te/omron-hem-7143-t1-may-do-huyet-ap-bap-tay-tu-dong.html
3681,Gel bôi trơn Kly tiệt trùng bổ sung lượng chất nhờn tự nhiên (82g),Các dụng cụ và sản phẩm khác,Thiết bị y tế>>Dụng cụ y tế>>Các dụng cụ và sản phẩm khác,https://cms-prod.s3-sgn09.fptcloud.com/DSC_09141_b58cf5c83b.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09138_1c0c3ac1b9.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09142_e189f527d1.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09131_29b050ee5b.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09132_b91825b160.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09133_e14aaf2225.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09136_c0d756990f.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09137_14f7f63ef3.jpg,https://nhathuoclongchau.com.vn/trang-thiet-bi-y-te/gel-boi-tron-kly-tiet-trung-82-g.html
3682,"Miếng dán Fobelife Kangdi loại mụn cóc trên da hiệu quả, không gây đau rát, chảy máu (6 miếng)",Thiết bị y tế,Thiết bị y tế,https://cms-prod.s3-sgn09.fptcloud.com/2_1bf99432c5.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09873_c9fc23827f.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09869_83299eb420.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09870_d50252c143.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09871_d3734637ff.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09874_26cf39906a.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09875_64051240d3.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09876_e6454186a8.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09877_ab92f1bc8e.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09878_6a727ea098.jpg,https://nhathuoclongchau.com.vn/trang-thiet-bi-y-te/mieng-dan-mun-coc-kangdi-fobelife-6-mieng.html
3683,"Chai xịt giảm đau kháng viêm Safefit Jet Spray giảm đau, kháng viêm trong căng cơ, bong gân (110ml)","Xịt giảm đau, kháng viêm","Thiết bị y tế>>Dụng cụ sơ cứu>>Xịt giảm đau, kháng viêm",https://cms-prod.s3-sgn09.fptcloud.com/DSC_00053_b7179eb493.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_00054_1_d54ccfcd2a.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_00054_4814421044.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_00066_a73d07733c.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_00055_135096330a.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_00069_02d6464bc9.jpg,https://nhathuoclongchau.com.vn/trang-thiet-bi-y-te/chai-xit-giam-dau-khang-viem-safefit-jet-spray-110-ml-1.html
3684,"Khẩu trang 3D trẻ em quai vải Swan Mask ngăn giọt bắn, vi khuẩn, khói bụi (10 cái)",Khẩu trang y tế,Thiết bị y tế>>Khẩu trang>>Khẩu trang y tế,https://cms-prod.s3-sgn09.fptcloud.com/IMG_0158_f0aca2eb4f.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0165_26efe18468.jpg***https://cms-prod.s3-sgn09.fptcloud.com/doreamon_quai_det_978a2b615f.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0173_53d2568638.jpg***https://cms-prod.s3-sgn09.fptcloud.com/hellokitty_quai_det_2df4a57c41.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0159_9144b6fdd2.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0175_b42245e00a.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0160_fc898e2199.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0161_dcd7713cef.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0162_ec7dc25218.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0163_1df29da21f.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0171_0623f23000.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0234_036115e8f2.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0232_3c1897deb2.jpg,https://nhathuoclongchau.com.vn/trang-thiet-bi-y-te/khau-trang-3-d-tre-em-quai-vai-swan-mask-3-lop-10-cai.html
3685,"Khẩu trang 3D trẻ em Dolphin Mask 4 lớp ngăn giọt bắn, vi khuẩn, khói bụi (10 cái)",Khẩu trang y tế,Thiết bị y tế>>Khẩu trang>>Khẩu trang y tế,https://cms-prod.s3-sgn09.fptcloud.com/IMG_0188_f4db0565ff.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0184_a07167017b.jpg***https://cms-prod.s3-sgn09.fptcloud.com/hello_kitty_quai_trofn_8eb5586e01.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0178_590303c70a.jpg***https://cms-prod.s3-sgn09.fptcloud.com/didorraemon_quai_tron_40953c6d71.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0198_3d5d38327b.jpg***https://cms-prod.s3-sgn09.fptcloud.com/gray_kids_quai_tron_70be6b53b5.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0193_fffe44a38e.jpg***https://cms-prod.s3-sgn09.fptcloud.com/kids_pink_16f7e8370e.jpg***https://cms-prod.s3-sgn09.fptcloud.com/hello_kitty_quai_trofn_8eb5586e01.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0180_b3421cb8ea.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0181_14763f400c.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0182_0640e093db.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0183_2946243b34.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0206_834710b365.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0224_bf55c3a266.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0220_6e9eabd28e.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0227_961d0742b5.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0229_c0dc9aa1ce.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0222_953a4813bc.jpg,https://nhathuoclongchau.com.vn/trang-thiet-bi-y-te/khau-trang-3-d-tre-em-dolphin-mask-4-lop-10-cai.html
3686,"Dung dịch xịt mũi Otosan Nasal Spray Forte hỗ trợ điều trị viêm mũi, viêm xoang (30ml)",Dụng cụ vệ sinh mũi,Thiết bị y tế>>Dụng cụ y tế>>Dụng cụ vệ sinh mũi,https://cms-prod.s3-sgn09.fptcloud.com/DSC_09084_d5d4e81008.jpg***https://cms-prod.s3-sgn09.fptcloud.com/cu_moi_1621b4616f.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09077_7d43d73d63.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09078_291fb02f4f.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09079_fafbfaa55e.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09080_2288a033bc.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09081_d2c825d742.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09082_c102a81071.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09085_b73785eefc.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09086_09d2421575.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_09087_f0f3699fe3.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_00315_0b3d4fb650.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_00316_cdc5255201.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_00319_6df1a1e87d.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_00318_b48bd988c8.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_00321_1ccacd6a14.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_00320_5e1189317a.jpg***https://cms-prod.s3-sgn09.fptcloud.com/DSC_00311_907a726aab.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_20230519_0001_cd29df5de2.jpg***https://cms-prod.s3-sgn09.fptcloud.com/otosan_nasal_spray_forte_5628997160.jpg,https://nhathuoclongchau.com.vn/trang-thiet-bi-y-te/dung-dich-xit-mui-nguoi-lon-otosan-dieu-tri-viem-mui-viem-xoang-30-ml.html
3687,"Băng cá nhân độ dính cao, co giãn tốt Urgo Family size 2cm x 6cm bảo vệ các vết thương nhỏ (10 miếng) ",Băng y tế,Thiết bị y tế>>Dụng cụ sơ cứu>>Băng y tế,https://cms-prod.s3-sgn09.fptcloud.com/IMG_0096_5c029ed8e7.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0098_624ae90e55.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0097_599fc9359c.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0099_02289ed1bc.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0101_93d003c916.jpg***https://cms-prod.s3-sgn09.fptcloud.com/IMG_0103_f4c1e5002f.jpg,https://nhathuoclongchau.com.vn/trang-thiet-bi-y-te/urgo-family-2-cm-x-6-cm-bang-ca-nhan-5-5-mieng.html
3688,"Miếng dán lạnh MDT chống say tàu xe, giảm nôn, buồn nôn (5 túi x 2 miếng)",Các dụng cụ và sản phẩm khác,Thiết bị y tế>>Dụng cụ y tế>>Các dụng cụ và sản phẩm khác,https://cms-prod.s3-sgn09.fptcloud.com/00503660_mieng_dan_lanh_chong_say_tau_xe_mdt_hop_10_mieng_4825_6422_large_05323428c1.jpg***https://cms-prod.s3-sgn09.fptcloud.com/00503660_mieng_dan_lanh_chong_say_tau_xe_mdt_hop_10_mieng_1679993891_bfac931140.jpg***https://cms-prod.s3-sgn09.fptcloud.com/00503660_mieng_dan_lanh_chong_say_tau_xe_mdt_hop_10_mieng_4142_6422_large_de50adf253.jpg***https://cms-prod.s3-sgn09.fptcloud.com/00503660_mieng_dan_lanh_chong_say_tau_xe_mdt_hop_10_mieng_2966_6422_large_de81defcf4.jpg***https://cms-prod.s3-sgn09.fptcloud.com/00503660_mieng_dan_lanh_chong_say_tau_xe_mdt_hop_10_mieng_8932_6422_large_74333146db.jpg***https://cms-prod.s3-sgn09.fptcloud.com/00503660_mieng_dan_lanh_chong_say_tau_xe_mdt_hop_10_mieng_2952_6423_large_bc70741c8f.jpg***https://cms-prod.s3-sgn09.fptcloud.com/00503660_mieng_dan_lanh_chong_say_tau_xe_mdt_hop_10_mieng_5152_6422_large_a1437751d0.jpg,https://nhathuoclongchau.com.vn/trang-thiet-bi-y-te/mieng-dan-lanh-chong-say-tau-xe-mdt---hop-10-mieng-37982.html
